case_id,source,category,subcategory,prev,wrong,next,expected,note,fragment
t2_0032,test2.csv,non-word,dist2_del_rep,the,intenationll,academy,international,nonword edit=dist2_del_rep,activities the journal of the intenationll academy for case studies jiacs
t2_0033,test2.csv,non-word,del,respiratory,inection,these,infection,nonword edit=del,convalescence from the acute respiratory inection these prolonged neurologic sequelae following
t2_0034,test2.csv,non-word,rep,fundamental,varirble,of,variable,nonword edit=rep,identities and assessment as fundamental varirble of beliefs
t2_0035,test2.csv,non-word,dist2_del_rep,while,pevevting,spread,preventing,nonword edit=dist2_del_rep,to care for patients while pevevting spread of covid-19
t2_0036,test2.csv,non-word,rep,eu,aclively,responded,actively,nonword edit=rep,the european union eu aclively responded to the pandemic and
t2_0037,test2.csv,non-word,dist2_del_rep,desired,fficlcy,and,efficacy,nonword edit=dist2_del_rep,neutralizing antibodies with the desired fficlcy and safety profile is critical
t2_0038,test2.csv,non-word,rep,may,afkect,the,affect,nonword edit=rep,growing anti-vaccine concern that may afkect the success of the fight
t2_0039,test2.csv,non-word,ins,and,developedc,countries,developed,nonword edit=ins,screening in both developing and developedc countries in this work the
t2_0040,test2.csv,non-word,del,the,tudy,period,study,nonword edit=del,emergency department eds during the tudy period the korean academy of
t2_0041,test2.csv,non-word,dist2_del_rep,economic,glebalizatio,and,globalization,nonword edit=dist2_del_rep,the continuous recession of economic glebalizatio and the increasing market competition
t2_0042,test2.csv,non-word,trans,of,inrtahepatic,ducts,intrahepatic,nonword edit=trans,cholangiopacreatography findings included beading of inrtahepatic ducts bile duct wall thickening
t2_0043,test2.csv,non-word,ins,currently,lackingg,,lacking,nonword edit=ins,for treatments which are currently lackingg
t2_0044,test2.csv,non-word,dist2_del_rep,on,equlnbrium,steady,equilibrium,nonword edit=dist2_del_rep,very critical condition based on equlnbrium steady state values of the
t2_0045,test2.csv,non-word,dist2_del_rep,strong,preditoq,latitude,predictor,nonword edit=dist2_del_rep,spring temperature and its strong preditoq latitude affect epidemiological variables such
t2_0046,test2.csv,non-word,rep,from,ddily,clinical,daily,nonword edit=rep,the lack of data from ddily clinical use third generation microfluidic
t2_0047,test2.csv,non-word,ins,environment,ischemich,stroke,ischemic,nonword edit=ins,multi-factorial stress conditions genotoxic environment ischemich stroke of unclear aetiology phenotypic
t2_0048,test2.csv,non-word,trans,of,ocmfort,compared,comfort,nonword edit=trans,with the high level of ocmfort compared with commercial mask moreover
t2_0049,test2.csv,non-word,trans,,sceond,we,second,nonword edit=trans,sceond we provide physically interpretable and
t2_0050,test2.csv,non-word,del,extracorporeal,membrne,oxygenation,membrane,nonword edit=del,therapy crrt and or extracorporeal membrne oxygenation ecmo
t2_0051,test2.csv,non-word,trans,new,metrcis,are,metrics,nonword edit=trans,specifically our new metrcis are able to match contextualized
t2_0052,test2.csv,non-word,del,environment,durig,this,during,nonword edit=del,and ensure safe working environment durig this pandemic managers will need
t2_0053,test2.csv,non-word,rep,treatment,howover,more,however,nonword edit=rep,efficacy in coronavirus disease treatment howover more case control studies are
t2_0054,test2.csv,non-word,rep,applied,researph,that,research,nonword edit=rep,the present study is applied researph that has been conducted using
t2_0055,test2.csv,non-word,dist2_del_rep,drug,mported,to,reported,nonword edit=dist2_del_rep,an anti-malarial and immunomodulatory drug mported to inhibit the corona virus
t2_0056,test2.csv,non-word,trans,and,cnosequences,of,consequences,nonword edit=trans,higher neuroticism and fear and cnosequences of contagion were predictors of
t2_0057,test2.csv,non-word,ins,centralised,healoth,record,health,nonword edit=ins,safe environment whilst retaining centralised healoth record
t2_0058,test2.csv,non-word,del,process,seeral,times,several,nonword edit=del,to use the decision-making process seeral times and had to face
t2_0059,test2.csv,non-word,rep,,apcurate,diagnosis,accurate,nonword edit=rep,apcurate diagnosis of acute endocarditis is
t2_0060,test2.csv,non-word,dist2_del_rep,quantitative,valysis,of,analysis,nonword edit=dist2_del_rep,integrating both qualitative and quantitative valysis of the surveys the results
t2_0061,test2.csv,non-word,dist2_del_rep,with,zvere,aki,severe,nonword edit=dist2_del_rep,and risk factors associated with zvere aki kdigo stages or
t2_0062,test2.csv,non-word,dist2_del_rep,services,strpgge,to,struggle,nonword edit=dist2_del_rep,into lock-down when health services strpgge to cope swift and reliable
t2_0063,test2.csv,non-word,ins,of,fdata,analysis,data,nonword edit=ins,the constant comparative method of fdata analysis was used in addition
t2_0064,test2.csv,non-word,ins,of,lizfe,business,life,nonword edit=ins,like economic loss loss of lizfe business jobs etc2 considering this
t2_0065,test2.csv,non-word,del,after,nitial,stabilization,initial,nonword edit=del,after nitial stabilization noncontrast computerized tomography and
t2_0066,test2.csv,non-word,trans,was,paplied,to,applied,nonword edit=trans,hospital multivariate logistic regression was paplied to develop the predictive model
t2_0067,test2.csv,non-word,trans,protective,qeuipment,ppe,equipment,nonword edit=trans,and non-deferrable procedures personal protective qeuipment ppe and hospital protocols for
t2_0068,test2.csv,non-word,trans,in,cihle,,chile,nonword edit=trans,during the covid pandemic in cihle
t2_0069,test2.csv,non-word,del,infection,acording,to,according,nonword edit=del,should be screened for infection acording to local or national policy
t2_0070,test2.csv,non-word,dist2_del_rep,emergency,wocil,distancing,social,nonword edit=dist2_del_rep,virus is public health emergency wocil distancing is key approach to
t2_0071,test2.csv,non-word,dist2_del_rep,of,xperhs,using,experts,nonword edit=dist2_del_rep,subsequently agreed among panel of xperhs using the delphi methodology with
t2_0072,test2.csv,non-word,rep,based,anticen,tests,antigen,nonword edit=rep,polymerase chain reaction pcr based anticen tests are technically difficult time-consuming
t2_0073,test2.csv,non-word,rep,using,statrc,framework,static,nonword edit=rep,by using statrc framework however we cannot model
t2_0074,test2.csv,non-word,ins,of,phyvsical,activity,physical,nonword edit=ins,the feasibility and efficacy of phyvsical activity behavior change intervention for
t2_0075,test2.csv,non-word,trans,pandemic,peirod,may,period,nonword edit=trans,ophthalmic emergencies during the pandemic peirod may help planning allocation of
t2_0076,test2.csv,non-word,rep,covid-19,seveoity,,severity,nonword edit=rep,chronic rhinosinusitis comorbidities and covid-19 seveoity
t2_0077,test2.csv,non-word,ins,,caonclusion,if,conclusion,nonword edit=ins,caonclusion if laparoscopy is performed in
t2_0078,test2.csv,non-word,rep,most,icteresting,fields,interesting,nonword edit=rep,is one of the most icteresting fields of research in this
t2_0079,test2.csv,non-word,rep,persons,incleding,coaches,including,nonword edit=rep,safety for all involved persons incleding coaches first responders and participants
t2_0080,test2.csv,non-word,dist2_del_rep,social,disanking,and,distancing,nonword edit=dist2_del_rep,higher numbers indicate more social disanking and census data on demographics
t2_0081,test2.csv,non-word,del,few,smal,nonrandomised,small,nonword edit=del,studies are limited to few smal nonrandomised studies and involved patients
t2_0082,test2.csv,non-word,trans,the,ottal,of,total,nonword edit=trans,three distinct compartments is the ottal of susceptible persons is the
t2_0083,test2.csv,non-word,trans,digital,eductaion,the,education,nonword edit=trans,on the growth of digital eductaion the situated and multidimensional nature
t2_0084,test2.csv,non-word,dist2_del_rep,diabetes,srdice,delivery,service,nonword edit=dist2_del_rep,of the pandemic on diabetes srdice delivery and the resultant opportunities
t2_0085,test2.csv,non-word,ins,health,centegrs,across,centers,nonword edit=ins,of nine hospitals and health centegrs across vietnam
t2_0086,test2.csv,non-word,trans,integral,clsoely,related,closely,nonword edit=trans,in appears through an integral clsoely related to the moment generating
t2_0087,test2.csv,non-word,rep,active,dase,finding,case,nonword edit=rep,was mobilized to support active dase finding and develop facility-focused containment
t2_0088,test2.csv,non-word,trans,neurological,disodrers,associated,disorders,nonword edit=trans,of the range of neurological disodrers associated with covid-19 may lead
t2_0089,test2.csv,non-word,trans,by,vrial,infection,viral,nonword edit=trans,diverse molecular events induced by vrial infection such as autophagy unfolded
t2_0090,test2.csv,non-word,trans,biliary,injruy,and,injury,nonword edit=trans,the potential for progressive biliary injruy and liver failure
t2_0091,test2.csv,non-word,rep,the,xuccess,of,success,nonword edit=rep,concern that may affect the xuccess of the fight against the
t2_0092,test2.csv,non-word,dist2_del_rep,association,etseen,acei,between,nonword edit=dist2_del_rep,provide evidence for significant association etseen acei arb treatment and severe
t2_0093,test2.csv,non-word,rep,the,rebponse,to,response,nonword edit=rep,two fundamental processes in the rebponse to the covid-19 pandemic
t2_0094,test2.csv,non-word,ins,stroke,lcare,during,care,nonword edit=ins,of in-hospital and telemedical stroke lcare during the pandemic was conducted
t2_0095,test2.csv,non-word,ins,wide,slpectrum,of,spectrum,nonword edit=ins,patients with covid-19 have wide slpectrum of clinical manifestations from asymptomatic
t2_0096,test2.csv,non-word,dist2_del_rep,of,brety,and,breath,nonword edit=dist2_del_rep,similarly both with shortness of brety and vital sign abnormalities yet
t2_0097,test2.csv,non-word,del,of,fcial,fractures,facial,nonword edit=del,there were cases of fcial fractures with tendency for conservative
t2_0098,test2.csv,non-word,del,are,subjeced,to,subjected,nonword edit=del,likewise many drugs are subjeced to this mega clinical trial
t2_0099,test2.csv,non-word,dist2_del_rep,to,ojtai,biosensor,obtain,nonword edit=dist2_del_rep,to ojtai biosensor with optimum parameters different
t2_0100,test2.csv,non-word,del,to,ombat,current,combat,nonword edit=del,the development of therapies to ombat current and future coronavirus pandemics
t2_0101,test2.csv,non-word,ins,been,properlhy,recognized,properly,nonword edit=ins,an issue has not been properlhy recognized as the best practice
t2_0102,test2.csv,non-word,ins,toward,lhower,proportion,lower,nonword edit=ins,there was nonsignificant trend toward lhower proportion of recommendation of intravenous
t2_0103,test2.csv,non-word,del,csdmards,methotexate,leflunomide,methotrexate,nonword edit=del,synthetic disease-modifying antirheumatic drugs csdmards methotexate leflunomide sulfasalazine patients with biologic
t2_0104,test2.csv,non-word,ins,other,vyiruses,with,viruses,nonword edit=ins,to differentiate sars-cov-2 from other vyiruses with similar symptoms
t2_0105,test2.csv,non-word,trans,covid-19,bettre,than,better,nonword edit=trans,with main protease of covid-19 bettre than currently used drug molecules
t2_0106,test2.csv,non-word,ins,pain,hieadaches,and,headaches,nonword edit=ins,concerns such as back pain hieadaches and other general weaknesses significantly
t2_0107,test2.csv,non-word,del,explored,equences,of,sequences,nonword edit=del,here we explored equences of the nucleocapsid protein potent
t2_0108,test2.csv,non-word,del,type,intereron,and,interferon,nonword edit=del,mediators are driven by type intereron and are known to induce
t2_0109,test2.csv,non-word,trans,in,neutrailzing,variety,neutralizing,nonword edit=trans,uvc light is effective in neutrailzing variety of pathogens among others
t2_0110,test2.csv,non-word,trans,coronavirus,idsease,covid-19,disease,nonword edit=trans,widespread effects of the coronavirus idsease covid-19 pandemic have negatively impacted
t2_0111,test2.csv,non-word,rep,as,wjll,as,well,nonword edit=rep,in the target domain as wjll as providing semantic information about
t2_0112,test2.csv,non-word,del,doctors,tudents,nurses,students,nonword edit=del,peak attendance was with doctors tudents nurses medical laboratory scientists and
t2_0113,test2.csv,non-word,rep,lobes,invllved,was,involved,nonword edit=rep,score of the pulmonary lobes invllved was and respectively
t2_0114,test2.csv,non-word,rep,franco-german,leadeuship,and,leadership,nonword edit=rep,thus once again moves franco-german leadeuship and its shortcomings to center
t2_0115,test2.csv,non-word,ins,of,axdvanced,heart,advanced,nonword edit=ins,intensive care unit utilization of axdvanced heart failure devices and immunomodulatory
t2_0116,test2.csv,non-word,dist2_del_rep,the,recevor,operating,receiver,nonword edit=dist2_del_rep,calibration were assessed using the recevor operating curve roc and calibration
t2_0117,test2.csv,non-word,ins,both,patirents,experienced,patients,nonword edit=ins,both patirents experienced clinical improvement and recovery
t2_0118,test2.csv,non-word,del,real,possibilit,of,possibility,nonword edit=del,presently there is real possibilit of second pandemic occurring grief
t2_0119,test2.csv,non-word,dist2_del_rep,long,mantnined,that,maintained,nonword edit=dist2_del_rep,strait islander peoples have long mantnined that culture ie practising maintaining
t2_0120,test2.csv,non-word,rep,was,dispknsable,since,dispensable,nonword edit=rep,its membrane binding function was dispknsable since loss of the inhibitory
t2_0121,test2.csv,non-word,ins,infection,priotr,to,prior,nonword edit=ins,natural infection priotr to vaccination provided higher neutralizing
t2_0122,test2.csv,non-word,trans,the,relatiosnhip,of,relationship,nonword edit=trans,and organisational commitment mediated the relatiosnhip of nurses workload quality of
t2_0123,test2.csv,non-word,rep,to,sensq,of,sense,nonword edit=rep,embodied non-verbal processes related to sensq of connectedness and participatory sensemaking
t2_0124,test2.csv,non-word,dist2_del_rep,regarding,paiencs,characteristics,patients,nonword edit=dist2_del_rep,of germany were analyzed regarding paiencs characteristics stroke type severity and
t2_0125,test2.csv,non-word,ins,stronger,germacny,relatively,germany,nonword edit=ins,in light of stronger germacny relatively weaker france and significant
t2_0126,test2.csv,non-word,dist2_del_rep,social,resonsibilkty,finance,responsibility,nonword edit=dist2_del_rep,economics laws ethics corporate social resonsibilkty finance accounting marketing etc
t2_0127,test2.csv,non-word,ins,this,paaper,was,paper,nonword edit=ins,the aim of this paaper was to analyze ten selected
t2_0128,test2.csv,non-word,del,are,satially,distributed,spatially,nonword edit=del,learning as multiple clients are satially distributed to cover diverse datasets
t2_0129,test2.csv,non-word,rep,to,quextions,and,questions,nonword edit=rep,monitoring misinformation and responding to quextions and concerns raised by the
t2_0130,test2.csv,non-word,trans,of,heatlh,national,health,nonword edit=trans,pandemic funding national institutes of heatlh national institute of general medical
t2_0131,test2.csv,non-word,ins,india,yrelated,to,related,nonword edit=ins,research work published from india yrelated to the impact of covid-19
t2_0132,test2.csv,non-word,del,has,rapily,resulted,rapidly,nonword edit=del,morbidity and mortality and has rapily resulted in strained health care
t2_0133,test2.csv,non-word,rep,incident,rdports,involve,reports,nonword edit=rep,most of the gang-related incident rdports involve non-violent offenses requiring programs
t2_0134,test2.csv,non-word,rep,with,suspectwd,covid-19,suspected,nonword edit=rep,prevalent symptoms among children with suspectwd covid-19 infection
t2_0135,test2.csv,non-word,rep,ltbi-covid-19,patiezts,compared,patients,nonword edit=rep,higher in tb-covid-19 and ltbi-covid-19 patiezts compared to covid-19 patients
t2_0136,test2.csv,non-word,rep,were,signifigantly,higher,significantly,nonword edit=rep,d-dimer concentrations were signifigantly higher in severe patients against
t2_0137,test2.csv,non-word,ins,global,leyvel,,level,nonword edit=ins,pandemic trends at the global leyvel
t2_0138,test2.csv,non-word,ins,agent,trusct,person,trust,nonword edit=ins,but what makes an agent trusct person resource or an organization
t2_0139,test2.csv,non-word,del,its,polcy,recommendations,policy,nonword edit=del,the field and democratising its polcy recommendations
t2_0140,test2.csv,non-word,trans,ba,vraiant,,variant,nonword edit=trans,properties of the omicron ba vraiant
t2_0141,test2.csv,non-word,del,children,generlly,transmit,generally,nonword edit=del,often posed is whether children generlly transmit sars-cov-2 effectively
t2_0142,test2.csv,non-word,rep,the,hommon,feature,common,nonword edit=rep,immunity cells hypoxia is the hommon feature in the inflammatory sites
t2_0143,test2.csv,non-word,rep,postpartum,popuzations,is,populations,nonword edit=rep,functioning in pregnant and postpartum popuzations is unknown
t2_0144,test2.csv,non-word,rep,we,aimsd,to,aimed,nonword edit=rep,we aimsd to report the incidence risk
t2_0145,test2.csv,non-word,dist2_del_rep,assess,difqerencs,in,differences,nonword edit=dist2_del_rep,of continuous data and assess difqerencs in serum d-dimer concentrations between
t2_0146,test2.csv,non-word,ins,all,sessionas,started,sessions,nonword edit=ins,hospital administrators and others all sessionas started within minutes of scheduled
t2_0147,test2.csv,non-word,rep,covid-19,reportyd,in,reported,nonword edit=rep,of screening methods for covid-19 reportyd in recent studies are based
t2_0148,test2.csv,non-word,del,have,reently,caused,recently,nonword edit=del,two new respiratory viruses have reently caused pandemics an h1n1 influenza
t2_0149,test2.csv,non-word,dist2_del_rep,total,umbtr,of,number,nonword edit=dist2_del_rep,stroke of china the total umbtr of thrombolysis and thrombectomy cases
t2_0150,test2.csv,non-word,trans,describes,rtends,in,trends,nonword edit=trans,treatment and identifies and describes rtends in the characteristics of these
t2_0151,test2.csv,non-word,trans,cox,proportoinal,hazards,proportional,nonword edit=trans,using kaplan-meier analysis and cox proportoinal hazards models
t2_0152,test2.csv,non-word,del,effective,maner,,manner,nonword edit=del,covid-19 in simple but effective maner
t2_0153,test2.csv,non-word,ins,threats,thkus,social,thus,nonword edit=ins,opportunities for various cyber threats thkus social networks have become fertile
t2_0154,test2.csv,non-word,dist2_del_rep,host,immuitn,is,immunity,nonword edit=dist2_del_rep,yet been approved the host immuitn is the only alternative to
t2_0155,test2.csv,non-word,ins,organs,ovaary,oviduct,ovary,nonword edit=ins,evaluate the biometrics of organs ovaary oviduct liver proventriculus and gizzard
t2_0156,test2.csv,non-word,dist2_del_rep,are,nonvteless,expected,nonetheless,nonword edit=dist2_del_rep,physicians are nonvteless expected to provide minimum of
t2_0157,test2.csv,non-word,del,on,istributive,justice,distributive,nonword edit=del,emerged with an emphasis on istributive justice which establishes the provision
t2_0158,test2.csv,non-word,dist2_del_rep,conclusions,triety,of,variety,nonword edit=dist2_del_rep,conclusions triety of covid-19-related spinal cord manifestations
t2_0159,test2.csv,non-word,trans,introduction,preidcting,the,predicting,nonword edit=trans,introduction preidcting the outcomes of covid-19 cases
t2_0160,test2.csv,non-word,rep,significantly,assocfated,with,associated,nonword edit=rep,of taste smell were significantly assocfated with positive tests lt
t2_0161,test2.csv,non-word,trans,score,maong,the,among,nonword edit=trans,prediction having obtained maximum score maong the predictions of the seven
t2_0162,test2.csv,non-word,dist2_del_rep,was,taried,out,carried,nonword edit=dist2_del_rep,this retrospective observational study was taried out at the university hospital
t2_0163,test2.csv,non-word,del,rights,olde,people,older,nonword edit=del,original research into human rights olde people and covid-19
t2_0164,test2.csv,non-word,trans,in,pateints,experiencing,patients,nonword edit=trans,rox index were higher in pateints experiencing successful cpap compared to
t2_0165,test2.csv,non-word,dist2_del_rep,not,actox,in,factor,nonword edit=dist2_del_rep,target domain and do not actox in the model predictions in
t2_0166,test2.csv,non-word,dist2_del_rep,to,rovidz,investments,provide,nonword edit=dist2_del_rep,is an ethical imperative to rovidz investments in the specialty cacao
t2_0167,test2.csv,non-word,ins,indigenous,peopzle,knowledge,people,nonword edit=ins,guiding approaches planetary health indigenous peopzle knowledge systems ecological economics health
t2_0168,test2.csv,non-word,ins,most,impaccted,in,impacted,nonword edit=ins,study period but was most impaccted in march and april
t2_0169,test2.csv,non-word,rep,from,nlastics,,plastics,nonword edit=rep,thermocatalytic synthesis of cnts from nlastics
t2_0170,test2.csv,non-word,dist2_del_rep,health-care,wnrkes,and,workers,nonword edit=dist2_del_rep,intended and ultimately protect health-care wnrkes and their patients coatings also
t2_0171,test2.csv,non-word,del,ethical,cleaance,was,clearance,nonword edit=del,appropriate ethical cleaance was taken from the institutional
t2_0172,test2.csv,non-word,rep,respiratory,syndkome,coronavirus,syndrome,nonword edit=rep,infection with severe acute respiratory syndkome coronavirus sars-cov-2
t2_0173,test2.csv,non-word,ins,study,iraniakn,nurses,iranian,nonword edit=ins,design in this cross-sectional study iraniakn nurses were surveyed during march
t2_0174,test2.csv,non-word,del,of,alered,thyroid-driven,altered,nonword edit=del,patients however the effect of alered thyroid-driven disorders cannot be ignored
t2_0175,test2.csv,non-word,del,their,distictive,style,distinctive,nonword edit=del,have given the protests their distictive style
t2_0176,test2.csv,non-word,dist2_del_rep,pd,patixts,who,patients,nonword edit=dist2_del_rep,are the outcomes in pd patixts who contract covid-19
t2_0177,test2.csv,non-word,rep,the,eurxpean,states,european,nonword edit=rep,opinion was noticeable across the eurxpean states
t2_0178,test2.csv,non-word,rep,with,incidenpe,of,incidence,nonword edit=rep,for sars-cov-2 was performed with incidenpe of positive pcrs
t2_0179,test2.csv,non-word,trans,the,efficienyc,of,efficiency,nonword edit=trans,been adopted to maintain the efficienyc of the protocol
t2_0180,test2.csv,non-word,rep,an,averase,of,average,nonword edit=rep,shown no seasonality with an averase of around to per day
t2_0181,test2.csv,non-word,ins,to,takie,part,take,nonword edit=ins,system might be able to takie part in the occurrence of
t2_0182,test2.csv,non-word,ins,accommodating,xvalue,pluralism,value,nonword edit=ins,general challenges in ers accommodating xvalue pluralism crafting precise definitions developing
t2_0183,test2.csv,non-word,del,systematic,evaluatin,of,evaluation,nonword edit=del,there has been no systematic evaluatin of hcw stigmatization during the
t2_0184,test2.csv,non-word,dist2_del_rep,often,rherred,to,referred,nonword edit=dist2_del_rep,computing constitute what is often rherred to as the digital revolution
t2_0185,test2.csv,non-word,dist2_del_rep,random,frgst,baseline,forest,nonword edit=dist2_del_rep,architectures as well as random frgst baseline
t2_0186,test2.csv,non-word,ins,the,pandemice,virus,pandemic,nonword edit=ins,the risk of importing the pandemice virus via air travel into
t2_0187,test2.csv,non-word,ins,with,overj,volunteers,over,nonword edit=ins,uk based recovery trial with overj volunteers
t2_0188,test2.csv,non-word,trans,has,highligthed,the,highlighted,nonword edit=trans,infections on global level has highligthed the need for accurate transparent
t2_0189,test2.csv,non-word,del,interface,desin,of,design,nonword edit=del,moderators search task and interface desin of such differences
t2_0190,test2.csv,non-word,ins,the,authorsk,tried,authors,nonword edit=ins,interests are researched besides the authorsk tried to determine the optimal
t2_0191,test2.csv,non-word,rep,heterogenous,focument,base,document,nonword edit=rep,the search of covid-19 heterogenous focument base
t2_0192,test2.csv,non-word,del,suggest,flexble,regulatory,flexible,nonword edit=del,commodity and financial assets suggest flexble regulatory and portfolio allocation strategies
t2_0193,test2.csv,non-word,del,with,ycle,threshold,cycle,nonword edit=del,to ci for samples with ycle threshold
t2_0194,test2.csv,non-word,trans,that,haev,very,have,nonword edit=trans,and eosinophils are granulocytes that haev very distinct functions
t2_0195,test2.csv,non-word,trans,of,dceeased,patients,deceased,nonword edit=trans,our multicenter observational study of dceeased patients with covid-19 in three
t2_0196,test2.csv,non-word,dist2_del_rep,in,cardothorucic,surgery,cardiothoracic,nonword edit=dist2_del_rep,management resulted in reduction in cardothorucic surgery service delivery
t2_0197,test2.csv,non-word,trans,tests,eprformed,,performed,nonword edit=trans,region in terms of tests eprformed
t2_0198,test2.csv,non-word,rep,australian,econqmy,that,economy,nonword edit=rep,vision for is an australian econqmy that promotes optimal human and
t2_0199,test2.csv,non-word,ins,help,contwrol,the,control,nonword edit=ins,the infected area can help contwrol the outbreak and assist in
t2_0200,test2.csv,non-word,ins,,areca,under,area,nonword edit=ins,areca under the receiver-operator curve was
t2_0201,test2.csv,non-word,trans,the,primre,set,primer,nonword edit=trans,noteworthily cdc usa recommended the primre set contained lower mismatch than
t2_0202,test2.csv,non-word,trans,different,geograhpic,locations,geographic,nonword edit=trans,in covid-19 patients from different geograhpic locations
t2_0203,test2.csv,non-word,dist2_del_rep,to,obrating,on,operating,nonword edit=dist2_del_rep,has changed the approach to obrating on breast cancer for the
t2_0204,test2.csv,non-word,rep,care,unxt,stay,unit,nonword edit=rep,hospitalized patients required intensive care unxt stay in turkey depending on
t2_0205,test2.csv,non-word,rep,the,developes,approach,developed,nonword edit=rep,the developes approach can be used to
t2_0206,test2.csv,non-word,rep,evident,wherb,access,where,nonword edit=rep,challenges were evident wherb access to food was provided
t2_0207,test2.csv,non-word,dist2_del_rep,new,diitjl,tools,digital,nonword edit=dist2_del_rep,one of suite of new diitjl tools police and other security
t2_0208,test2.csv,non-word,dist2_del_rep,and,recobry,predictors,recovery,nonword edit=dist2_del_rep,the prevalence temporal course and recobry predictors in patients who suffered
t2_0209,test2.csv,non-word,dist2_del_rep,for,intensij,care,intensive,nonword edit=dist2_del_rep,of hospitalized patients separately for intensij care or not and the
t2_0210,test2.csv,non-word,del,diverse,socal,and,social,nonword edit=del,disparities among students from diverse socal and educational backgrounds
t2_0211,test2.csv,non-word,trans,who,sued,computer,used,nonword edit=trans,exam performance of students who sued computer for online education was
t2_0212,test2.csv,non-word,rep,endemicity,alongkide,vaccination,alongside,nonword edit=rep,through future in which endemicity alongkide vaccination may become the enduring
