case_id,category,prev,wrong,next,expected,corrected,decision,pass,bigram_prev_orig,bigram_prev_corr,bigram_orig_next,bigram_corr_next,dynamic_keep_bonus,dynamic_margin,dynamic_threshold,orig_left,orig_bi_diag
37,non-word,desired,fficlcy,and,efficacy,efficacy,Non-word error,True,0,3,0,654,,,,,
38,non-word,may,afkect,the,affect,affect,Non-word error,True,0,153,0,645,,,,,
39,non-word,and,developedc,countries,developed,developed,Non-word error,True,0,131,0,163,,,,,
40,non-word,the,tudy,period,study,study,Non-word error,True,0,5188,0,380,,,,,
41,non-word,economic,glebalizatio,and,globalization,globalization,Non-word error,True,0,6,0,59,,,,,
42,non-word,of,inrtahepatic,ducts,intrahepatic,intrahepatic,Non-word error,True,0,0,0,0,,,,,
43,non-word,currently,lackingg,,lacking,lacking,Non-word error,True,0,15,0,0,,,,,
44,non-word,on,equlnbrium,steady,equilibrium,equilibrium,Non-word error,True,0,0,0,1,,,,,
45,non-word,strong,preditoq,latitude,predictor,predictor,Non-word error,True,0,16,0,0,,,,,
46,non-word,from,ddily,clinical,daily,daily,Non-word error,True,0,7,0,32,,,,,
47,non-word,environment,ischemich,stroke,ischemic,ischemic,Non-word error,True,0,0,0,224,,,,,
48,non-word,of,ocmfort,compared,comfort,comfort,Non-word error,True,0,12,0,0,,,,,
49,non-word,,sceond,we,second,scene,Non-word error,False,0,0,0,1,,,,,
50,non-word,extracorporeal,membrne,oxygenation,membrane,membrane,Non-word error,True,0,300,0,313,,,,,
51,non-word,new,metrcis,are,metrics,metrics,Non-word error,True,0,2,0,20,,,,,
52,non-word,environment,durig,this,during,during,Non-word error,True,0,15,0,374,,,,,
53,non-word,treatment,howover,more,however,however,Non-word error,True,0,77,0,59,,,,,
54,non-word,applied,researph,that,research,research,Non-word error,True,0,21,0,114,,,,,
55,non-word,drug,mported,to,reported,reported,Non-word error,True,0,0,0,427,,,,,
56,non-word,and,cnosequences,of,consequences,consequences,Non-word error,True,0,102,0,529,,,,,
57,non-word,centralised,healoth,record,health,health,Non-word error,True,0,0,0,119,,,,,
58,non-word,process,seeral,times,several,several,Non-word error,True,0,4,0,23,,,,,
59,non-word,,apcurate,diagnosis,accurate,accurate,Non-word error,True,0,0,0,108,,,,,
60,non-word,quantitative,valysis,of,analysis,analysis,Non-word error,True,0,133,0,4881,,,,,
61,non-word,with,zvere,aki,severe,severe,Non-word error,True,0,945,0,20,,,,,
62,non-word,services,strpgge,to,struggle,struggle,Non-word error,True,0,0,0,40,,,,,
63,non-word,of,fdata,analysis,data,data,Non-word error,True,0,995,0,519,,,,,
64,non-word,of,lizfe,business,life,life,Non-word error,True,0,2227,0,4,,,,,
65,non-word,after,nitial,stabilization,initial,initial,Non-word error,True,0,42,0,0,,,,,
66,non-word,was,paplied,to,applied,applied,Non-word error,True,0,400,0,1294,,,,,
67,non-word,protective,qeuipment,ppe,equipment,equipment,Non-word error,True,0,226,0,84,,,,,
68,non-word,in,cihle,,chile,chile,Non-word error,True,0,31,0,0,,,,,
69,non-word,infection,acording,to,according,according,Non-word error,True,0,1,0,2567,,,,,
70,non-word,emergency,wocil,distancing,social,social,Non-word error,True,0,0,0,478,,,,,
71,non-word,of,xperhs,using,experts,experts,Non-word error,True,0,74,0,2,,,,,
72,non-word,based,anticen,tests,antigen,antigen,Non-word error,True,0,1,0,17,,,,,
73,non-word,using,statrc,framework,static,static,Non-word error,True,0,2,0,0,,,,,
74,non-word,of,phyvsical,activity,physical,physical,Non-word error,True,0,401,0,1168,,,,,
75,non-word,pandemic,peirod,may,period,period,Non-word error,True,0,73,0,6,,,,,
76,non-word,covid-19,seveoity,,severity,severity,Non-word error,True,0,38,0,0,,,,,
77,non-word,,caonclusion,if,conclusion,conclusion,Non-word error,True,0,0,0,2,,,,,
78,non-word,most,icteresting,fields,interesting,interesting,Non-word error,True,0,14,0,0,,,,,
79,non-word,persons,incleding,coaches,including,including,Non-word error,True,0,3,0,0,,,,,
80,non-word,social,disanking,and,distancing,distancing,Non-word error,True,0,478,0,104,,,,,
81,non-word,few,smal,nonrandomised,small,small,Non-word error,True,0,2,0,0,,,,,
82,non-word,the,ottal,of,total,total,Non-word error,True,0,898,0,2982,,,,,
83,non-word,digital,eductaion,the,education,education,Non-word error,True,0,7,0,114,,,,,
84,non-word,diabetes,srdice,delivery,service,service,Non-word error,True,0,0,0,162,,,,,
85,non-word,health,centegrs,across,centers,centers,Non-word error,True,0,49,0,14,,,,,
86,non-word,integral,clsoely,related,closely,closely,Non-word error,True,0,0,0,312,,,,,
87,non-word,active,dase,finding,case,case,Non-word error,True,0,9,0,22,,,,,
88,non-word,neurological,disodrers,associated,disorders,disorders,Non-word error,True,0,91,0,14,,,,,
89,non-word,by,vrial,infection,viral,viral,Non-word error,True,0,94,0,612,,,,,
90,non-word,biliary,injruy,and,injury,injury,Non-word error,True,0,1,0,425,,,,,
91,non-word,the,xuccess,of,success,success,Non-word error,True,0,298,0,322,,,,,
92,non-word,association,etseen,acei,between,between,Non-word error,True,0,1473,0,0,,,,,
93,non-word,the,rebponse,to,response,response,Non-word error,True,0,357,0,2450,,,,,
94,non-word,stroke,lcare,during,care,care,Non-word error,True,0,20,0,104,,,,,
95,non-word,wide,slpectrum,of,spectrum,spectrum,Non-word error,True,0,73,0,493,,,,,
96,non-word,of,brety,and,breath,beta,Non-word error,False,0,135,0,74,,,,,
97,non-word,of,fcial,fractures,facial,facial,Non-word error,True,0,32,0,5,,,,,
98,non-word,are,subjeced,to,subjected,subjected,Non-word error,True,0,18,0,399,,,,,
99,non-word,to,ojtai,biosensor,obtain,obtain,Non-word error,True,0,719,0,0,,,,,
100,non-word,to,ombat,current,combat,combat,Non-word error,True,0,299,0,0,,,,,
101,non-word,been,properlhy,recognized,properly,properly,Non-word error,True,0,5,0,0,,,,,
102,non-word,toward,lhower,proportion,lower,lower,Non-word error,True,0,6,0,15,,,,,
103,non-word,csdmards,methotexate,leflunomide,methotrexate,methotrexate,Non-word error,True,0,0,0,0,,,,,
104,non-word,other,vyiruses,with,viruses,viruses,Non-word error,True,0,107,0,132,,,,,
105,non-word,covid-19,bettre,than,better,better,Non-word error,True,0,1,0,343,,,,,
106,non-word,pain,hieadaches,and,headaches,headaches,Non-word error,True,0,1,0,13,,,,,
107,non-word,explored,equences,of,sequences,sequences,Non-word error,True,0,0,0,299,,,,,
108,non-word,type,intereron,and,interferon,interferon,Non-word error,True,0,5,0,35,,,,,
109,non-word,in,neutrailzing,variety,neutralizing,neutralizing,Non-word error,True,0,9,0,0,,,,,
110,non-word,coronavirus,idsease,covid-19,disease,disease,Non-word error,True,0,705,0,570,,,,,
111,non-word,as,wjll,as,well,well,Non-word error,True,0,6917,0,6549,,,,,
112,non-word,doctors,tudents,nurses,students,students,Non-word error,True,0,0,0,0,,,,,
113,non-word,lobes,invllved,was,involved,involved,Non-word error,True,0,1,0,5,,,,,
114,non-word,franco-german,leadeuship,and,leadership,leadership,Non-word error,True,0,0,0,115,,,,,
115,non-word,of,axdvanced,heart,advanced,advanced,Non-word error,True,0,148,0,3,,,,,
116,non-word,the,recevor,operating,receiver,receiver,Non-word error,True,0,230,0,375,,,,,
117,non-word,both,patirents,experienced,patients,patients,Non-word error,True,0,79,0,59,,,,,
118,non-word,real,possibilit,of,possibility,possibility,Non-word error,True,0,0,0,464,,,,,
119,non-word,long,mantnined,that,maintained,maintained,Non-word error,True,0,0,0,1,,,,,
120,non-word,was,dispknsable,since,dispensable,dispensable,Non-word error,True,0,2,0,0,,,,,
121,non-word,infection,priotr,to,prior,prior,Non-word error,True,0,3,0,987,,,,,
122,non-word,the,relatiosnhip,of,relationship,relationship,Non-word error,True,0,1784,0,143,,,,,
123,non-word,to,sensq,of,sense,sense,Non-word error,True,0,21,0,365,,,,,
124,non-word,regarding,paiencs,characteristics,patients,patients,Non-word error,True,0,13,0,34,,,,,
125,non-word,stronger,germacny,relatively,germany,germany,Non-word error,True,0,0,0,0,,,,,
126,non-word,social,resonsibilkty,finance,responsibility,responsibility,Non-word error,True,0,112,0,0,,,,,
127,non-word,this,paaper,was,paper,paper,Non-word error,True,0,4923,0,34,,,,,
128,non-word,are,satially,distributed,spatially,spatially,Non-word error,True,0,4,0,5,,,,,
129,non-word,to,quextions,and,questions,questions,Non-word error,True,0,31,0,118,,,,,
130,non-word,of,heatlh,national,health,health,Non-word error,True,0,1594,0,6,,,,,
131,non-word,india,yrelated,to,related,related,Non-word error,True,0,0,0,4069,,,,,
132,non-word,has,rapily,resulted,rapidly,rapidly,Non-word error,True,0,33,0,0,,,,,
133,non-word,incident,rdports,involve,reports,reports,Non-word error,True,0,7,0,0,,,,,
134,non-word,with,suspectwd,covid-19,suspected,suspected,Non-word error,True,0,175,0,34,,,,,
135,non-word,ltbi-covid-19,patiezts,compared,patients,patients,Non-word error,True,0,0,0,126,,,,,
136,non-word,were,signifigantly,higher,significantly,significantly,Non-word error,True,0,1412,0,1162,,,,,
137,non-word,global,leyvel,,level,level,Non-word error,True,0,43,0,0,,,,,
138,non-word,agent,trusct,person,trust,trust,Non-word error,True,0,0,0,0,,,,,
139,non-word,its,polcy,recommendations,policy,policy,Non-word error,True,0,3,0,33,,,,,
140,non-word,ba,vraiant,,variant,variant,Non-word error,True,0,0,0,0,,,,,
141,non-word,children,generlly,transmit,generally,generally,Non-word error,True,0,1,0,0,,,,,
142,non-word,the,hommon,feature,common,common,Non-word error,True,0,398,0,25,,,,,
143,non-word,postpartum,popuzations,is,populations,populations,Non-word error,True,0,0,0,34,,,,,
144,non-word,we,aimsd,to,aimed,aimed,Non-word error,True,0,853,0,2543,,,,,
145,non-word,assess,difqerencs,in,differences,differences,Non-word error,True,0,15,0,1975,,,,,
146,non-word,all,sessionas,started,sessions,sessions,Non-word error,True,0,7,0,1,,,,,
147,non-word,covid-19,reportyd,in,reported,reported,Non-word error,True,0,4,0,767,,,,,
148,non-word,have,reently,caused,recently,recently,Non-word error,True,0,173,0,3,,,,,
149,non-word,total,umbtr,of,number,number,Non-word error,True,0,181,0,6073,,,,,
150,non-word,describes,rtends,in,trends,trends,Non-word error,True,0,0,0,437,,,,,
151,non-word,cox,proportoinal,hazards,proportional,proportional,Non-word error,True,0,138,0,98,,,,,
152,non-word,effective,maner,,manner,manner,Non-word error,True,0,13,0,0,,,,,
153,non-word,threats,thkus,social,thus,thus,Non-word error,True,0,3,0,1,,,,,
154,non-word,host,immuitn,is,immunity,immunity,Non-word error,True,0,54,0,61,,,,,
155,non-word,organs,ovaary,oviduct,ovary,ovary,Non-word error,True,0,0,0,0,,,,,
156,non-word,are,nonvteless,expected,nonetheless,nonetheless,Non-word error,True,0,1,0,0,,,,,
157,non-word,on,istributive,justice,distributive,distributive,Non-word error,True,0,0,0,8,,,,,
158,non-word,conclusions,triety,of,variety,variety,Non-word error,True,0,0,0,1518,,,,,
159,non-word,introduction,preidcting,the,predicting,predicting,Non-word error,True,0,0,0,271,,,,,
160,non-word,significantly,assocfated,with,associated,associated,Non-word error,True,0,636,0,11579,,,,,
161,non-word,score,maong,the,among,among,Non-word error,True,0,10,0,2018,,,,,
162,non-word,was,taried,out,carried,carried,Non-word error,True,0,495,0,1407,,,,,
163,non-word,rights,olde,people,older,older,Non-word error,True,0,0,0,325,,,,,
164,non-word,in,pateints,experiencing,patients,patients,Non-word error,True,0,5294,0,31,,,,,
165,non-word,not,actox,in,factor,factor,Non-word error,True,0,0,0,288,,,,,
166,non-word,to,rovidz,investments,provide,provide,Non-word error,True,0,1943,0,0,,,,,
167,non-word,indigenous,peopzle,knowledge,people,people,Non-word error,True,0,25,0,6,,,,,
168,non-word,most,impaccted,in,impacted,impacted,Non-word error,True,0,8,0,8,,,,,
169,non-word,from,nlastics,,plastics,plastics,Non-word error,True,0,0,0,0,,,,,
170,non-word,health-care,wnrkes,and,workers,workers,Non-word error,True,0,0,0,177,,,,,
171,non-word,ethical,cleaance,was,clearance,clearance,Non-word error,True,0,2,0,10,,,,,
172,non-word,respiratory,syndkome,coronavirus,syndrome,syndrome,Non-word error,True,0,697,0,286,,,,,
173,non-word,study,iraniakn,nurses,iranian,iranian,Non-word error,True,0,0,0,5,,,,,
174,non-word,of,alered,thyroid-driven,altered,altered,Non-word error,True,0,23,0,0,,,,,
175,non-word,their,distictive,style,distinctive,distinctive,Non-word error,True,0,3,0,0,,,,,
176,non-word,pd,patixts,who,patients,patients,Non-word error,True,0,56,0,1695,,,,,
177,non-word,the,eurxpean,states,european,european,Non-word error,True,0,717,0,10,,,,,
178,non-word,with,incidenpe,of,incidence,incidence,Non-word error,True,0,12,0,1510,,,,,
179,non-word,the,efficienyc,of,efficiency,efficiency,Non-word error,True,0,389,0,654,,,,,
180,non-word,an,averase,of,average,average,Non-word error,True,0,373,0,217,,,,,
181,non-word,to,takie,part,take,take,Non-word error,True,0,391,0,38,,,,,
182,non-word,accommodating,xvalue,pluralism,value,value,Non-word error,True,0,0,0,0,,,,,
183,non-word,systematic,evaluatin,of,evaluation,evaluation,Non-word error,True,0,23,0,1768,,,,,
184,non-word,often,rherred,to,referred,referred,Non-word error,True,0,16,0,357,,,,,
185,non-word,random,frgst,baseline,forest,forest,Non-word error,True,0,228,0,0,,,,,
186,non-word,the,pandemice,virus,pandemic,pandemic,Non-word error,True,0,2550,0,27,,,,,
187,non-word,with,overj,volunteers,over,over,Non-word error,True,0,69,0,0,,,,,
188,non-word,has,highligthed,the,highlighted,highlighted,Non-word error,True,0,58,0,223,,,,,
189,non-word,interface,desin,of,design,design,Non-word error,True,0,8,0,848,,,,,
190,non-word,the,authorsk,tried,authors,authors,Non-word error,True,0,565,0,1,,,,,
191,non-word,heterogenous,focument,base,document,document,Non-word error,True,0,0,0,0,,,,,
192,non-word,suggest,flexble,regulatory,flexible,flexible,Non-word error,True,0,0,0,1,,,,,
193,non-word,with,ycle,threshold,cycle,cycle,Non-word error,True,0,1,0,30,,,,,
194,non-word,that,haev,very,have,have,Non-word error,True,0,1023,0,26,,,,,
195,non-word,of,dceeased,patients,deceased,deceased,Non-word error,True,0,7,0,13,,,,,
196,non-word,in,cardothorucic,surgery,cardiothoracic,cardiothoracic,Non-word error,True,0,2,0,15,,,,,
197,non-word,tests,eprformed,,performed,performed,Non-word error,True,0,22,0,0,,,,,
198,non-word,australian,econqmy,that,economy,economy,Non-word error,True,0,3,0,7,,,,,
199,non-word,help,contwrol,the,control,control,Non-word error,True,0,15,0,369,,,,,
200,non-word,,areca,under,area,area,Non-word error,True,0,0,0,481,,,,,
201,non-word,the,primre,set,primer,primer,Non-word error,True,0,13,0,11,,,,,
202,non-word,different,geograhpic,locations,geographic,geographic,Non-word error,True,0,21,0,17,,,,,
203,non-word,to,obrating,on,operating,operating,Non-word error,True,0,1,0,8,,,,,
204,non-word,care,unxt,stay,unit,unit,Non-word error,True,0,1403,0,27,,,,,
205,non-word,the,developes,approach,developed,developed,Non-word error,True,0,300,0,14,,,,,
206,non-word,evident,wherb,access,where,where,Non-word error,True,0,0,0,3,,,,,
207,non-word,new,diitjl,tools,digital,digital,Non-word error,True,0,35,0,58,,,,,
208,non-word,and,recobry,predictors,recovery,recovery,Non-word error,True,0,129,0,0,,,,,
209,non-word,for,intensij,care,intensive,intensive,Non-word error,True,0,72,0,2281,,,,,
210,non-word,diverse,socal,and,social,social,Non-word error,True,0,5,0,574,,,,,
211,non-word,who,sued,computer,used,used,Non-word error,True,0,55,0,3,,,,,
212,non-word,endemicity,alongkide,vaccination,alongside,alongside,Non-word error,True,0,0,0,0,,,,,
213,non-word,validate,irsk,score,risk,risk,Non-word error,True,0,0,0,103,,,,,
214,non-word,complex,structujres,at,structures,structures,Non-word error,True,0,14,0,12,,,,,
215,non-word,pharmacy,curriculmu,to,curriculum,curriculum,Non-word error,True,0,2,0,12,,,,,
216,non-word,classified,accoring,to,according,according,Non-word error,True,0,51,0,2567,,,,,
217,non-word,while,avoidiqng,putting,avoiding,avoiding,Non-word error,True,0,16,0,0,,,,,
218,non-word,the,protpn,binding,protein,protein,Non-word error,True,0,590,0,53,,,,,
219,non-word,has,acceleraled,the,accelerated,accelerated,Non-word error,True,0,23,0,36,,,,,
220,non-word,to,prevetn,bioaerosol,prevent,prevent,Non-word error,True,0,1247,0,0,,,,,
221,non-word,justifiably,djcline,to,decline,decline,Non-word error,True,0,0,0,6,,,,,
222,non-word,control,groxp,immunohistochemical,group,group,Non-word error,True,0,1400,0,1,,,,,
223,non-word,to,improte,the,improve,improve,Non-word error,True,0,2816,0,1667,,,,,
224,non-word,coronavirus,inecrions,in,infections,infections,Non-word error,True,0,24,0,945,,,,,
225,non-word,,iral,load,viral,viral,Non-word error,True,0,0,0,331,,,,,
226,non-word,the,ospread,of,spread,spread,Non-word error,True,0,877,0,1220,,,,,
227,non-word,different,ogaxs,like,organs,organs,Non-word error,True,0,26,0,6,,,,,
228,non-word,the,ranpid,progressing,rapid,rapid,Non-word error,True,0,485,0,0,,,,,
229,non-word,of,wics,are,which,which,Non-word error,True,0,1194,0,1502,,,,,
230,non-word,to,inrease,their,increase,increase,Non-word error,True,0,1089,0,108,,,,,
231,non-word,,duqng,simulation,during,during,Non-word error,True,0,0,0,3,,,,,
232,non-word,current,resexarch,and,research,research,Non-word error,True,0,160,0,1027,,,,,
233,non-word,ci,mortalityv,increased,mortality,mortality,Non-word error,True,0,0,0,8,,,,,
234,non-word,of,comorbisities,and,comorbidities,comorbidities,Non-word error,True,0,59,0,115,,,,,
235,non-word,diabetes,hyperlipzdemia,hyperuricemia,hyperlipidemia,hyperlipidemia,Non-word error,True,0,1,0,0,,,,,
236,non-word,established,compoennts,of,components,components,Non-word error,True,0,0,0,679,,,,,
237,non-word,that,cliiciins,can,clinicians,clinicians,Non-word error,True,0,16,0,7,,,,,
238,non-word,we,bsyrve,significant,observe,observe,Non-word error,True,0,97,0,4,,,,,
239,non-word,also,providns,an,provides,provides,Non-word error,True,0,108,0,519,,,,,
240,non-word,only,miutes,,minutes,minutes,Non-word error,True,0,1,0,0,,,,,
241,non-word,of,sqreptooccus,mitis,streptococcus,streptococcus,Non-word error,True,0,48,0,3,,,,,
242,non-word,so,rovisd,afcfta,revised,revised,Non-word error,True,0,0,0,1,,,,,
243,non-word,of,obiie,phone,mobile,mobile,Non-word error,True,0,210,0,136,,,,,
244,non-word,an,importuant,misclassification,important,important,Non-word error,True,0,2584,0,0,,,,,
245,non-word,springer,natur,singapore,nature,nature,Non-word error,True,0,2,0,0,,,,,
246,non-word,broad,rags,from,range,range,Non-word error,True,0,150,0,190,,,,,
247,non-word,black,resdents,higher,residents,residents,Non-word error,True,0,5,0,0,,,,,
248,non-word,and,sepcific,covid-19,specific,specific,Non-word error,True,0,359,0,4,,,,,
249,non-word,elevated,coparkd,with,compared,compared,Non-word error,True,0,6,0,3201,,,,,
250,non-word,tension,phhysiology,for,physiology,physiology,Non-word error,True,0,0,0,2,,,,,
251,non-word,chapter,phypical,determinants,physical,physical,Non-word error,True,0,0,0,0,,,,,
252,non-word,text,clasifivrs,developed,classifiers,classifiers,Non-word error,True,0,1,0,0,,,,,
253,non-word,reality,zproximity,tracing,proximity,proximity,Non-word error,True,0,0,0,0,,,,,
254,non-word,the,coctents,and,contents,contents,Non-word error,True,0,54,0,38,,,,,
255,non-word,is,repovted,that,reported,reported,Non-word error,True,0,102,0,392,,,,,
256,non-word,they,inflenck,,influence,influence,Non-word error,True,0,9,0,0,,,,,
257,non-word,inhibitors,specifially,versus,specifically,specifically,Non-word error,True,0,2,0,0,,,,,
258,non-word,and,laborator,data,laboratory,laboratory,Non-word error,True,0,367,0,92,,,,,
259,non-word,missing,inputj,data,input,input,Non-word error,True,0,2,0,40,,,,,
260,non-word,information,regardng,coronaviruses,regarding,regarding,Non-word error,True,0,130,0,1,,,,,
261,non-word,perhaps,thold,the,hold,should,Non-word error,False,0,1,0,17,,,,,
262,non-word,of,proejns,the,proteins,proteins,Non-word error,True,0,347,0,122,,,,,
263,non-word,in,bolod,of,blood,blood,Non-word error,True,0,268,0,90,,,,,
264,non-word,,bsed,on,based,based,Non-word error,True,0,0,0,10228,,,,,
265,non-word,the,gesraphic,distribution,geographic,geographic,Non-word error,True,0,61,0,42,,,,,
266,non-word,wide,deploymei,of,deployment,deployment,Non-word error,True,0,0,0,127,,,,,
267,non-word,this,payr,we,paper,paper,Non-word error,True,0,4923,0,1438,,,,,
268,non-word,to,cobad,covid-19,combat,combat,Non-word error,True,0,299,0,19,,,,,
269,non-word,hiv,aidds,or,aids,aids,Non-word error,True,0,243,0,5,,,,,
270,non-word,diabetes,emllitus,and,mellitus,mellitus,Non-word error,True,0,577,0,66,,,,,
271,non-word,the,trvael,footprint,travel,travel,Non-word error,True,0,34,0,0,,,,,
272,non-word,world,vealt,organization,health,health,Non-word error,True,0,543,0,503,,,,,
273,non-word,the,coroaviridoe,are,coronaviridae,coronaviridae,Non-word error,True,0,9,0,2,,,,,
274,non-word,reported,igher,level,higher,higher,Non-word error,True,0,65,0,132,,,,,
275,non-word,,sdummary,background,summary,summary,Non-word error,True,0,0,0,1,,,,,
276,non-word,bcg,comuntries,,countries,countries,Non-word error,True,0,0,0,0,,,,,
277,non-word,teaching,multipicatdon,to,multiplication,multiplication,Non-word error,True,0,0,0,0,,,,,
278,non-word,been,cabied,out,carried,carried,Non-word error,True,0,82,0,1407,,,,,
279,non-word,to,rapidll,adapt,rapidly,rapidly,Non-word error,True,0,117,0,6,,,,,
280,non-word,coronavirus,diease,has,disease,disease,Non-word error,True,0,705,0,116,,,,,
281,non-word,telehealth,telembdicine,services,telemedicine,telemedicine,Non-word error,True,0,0,0,21,,,,,
282,non-word,and,oelect,patient,select,select,Non-word error,True,0,34,0,2,,,,,
283,non-word,also,cohlec,over,collect,collect,Non-word error,True,0,2,0,1,,,,,
284,non-word,collaborations,bctwen,fintech,between,between,Non-word error,True,0,9,0,1,,,,,
285,non-word,learning,resagch,association,research,research,Non-word error,True,0,14,0,0,,,,,
286,non-word,,heuerlogous,nvsi-06-08,heterologous,heterologous,Non-word error,True,0,0,0,0,,,,,
287,non-word,ci,cratinine,mg,creatinine,creatinine,Non-word error,True,0,2,0,11,,,,,
288,non-word,significant,idact,on,impact,impact,Non-word error,True,0,221,0,1857,,,,,
289,non-word,the,pervious,years,previous,previous,Non-word error,True,0,414,0,54,,,,,
290,non-word,the,digita,profiles,digital,digital,Non-word error,True,0,367,0,1,,,,,
291,non-word,lung,fdisease,phenotypes,disease,disease,Non-word error,True,0,366,0,22,,,,,
292,non-word,the,spreand,of,spread,spread,Non-word error,True,0,877,0,1220,,,,,
293,non-word,the,qrain,and,brain,brain,Non-word error,True,0,635,0,188,,,,,
294,non-word,reactive,yxygen,species,oxygen,oxygen,Non-word error,True,0,317,0,299,,,,,
295,non-word,can,lvd,to,lead,lead,Non-word error,True,0,439,0,1829,,,,,
296,non-word,but,loco,national,local,local,Non-word error,True,0,2,0,22,,,,,
297,non-word,developed,predictvie,models,predictive,predictive,Non-word error,True,0,2,0,94,,,,,
298,non-word,to,aonther,and,another,another,Non-word error,True,0,129,0,22,,,,,
299,non-word,its,complicatrions,,complications,complications,Non-word error,True,0,41,0,0,,,,,
300,non-word,very,lacknig,objective,lacking,lacking,Non-word error,True,0,0,0,11,,,,,
301,non-word,providing,acceus,to,access,access,Non-word error,True,0,11,0,1458,,,,,
302,non-word,and,hoalh,care,health,health,Non-word error,True,0,1250,0,2599,,,,,
303,non-word,digital,conkact,tracing,contact,contact,Non-word error,True,0,14,0,189,,,,,
304,non-word,reopening,skcietes,and,societies,societies,Non-word error,True,0,0,0,52,,,,,
305,non-word,it,coles,to,comes,comes,Non-word error,True,0,81,0,86,,,,,
306,non-word,real,colcy,action,policy,policy,Non-word error,True,0,0,0,3,,,,,
307,non-word,lessons,yeaned,and,learned,learned,Non-word error,True,0,201,0,24,,,,,
308,non-word,of,baslic,infection,basic,basic,Non-word error,True,0,139,0,2,,,,,
309,non-word,negative,fefects,of,effects,effects,Non-word error,True,0,147,0,4318,,,,,
310,non-word,and,rewresentation,at,representation,representation,Non-word error,True,0,8,0,3,,,,,
311,non-word,binding,eergiei,of,energies,energies,Non-word error,True,0,31,0,17,,,,,
312,non-word,for,confousding,sars-cov-2,confounding,confounding,Non-word error,True,0,37,0,0,,,,,
313,non-word,with,nuemrous,covid,numerous,numerous,Non-word error,True,0,51,0,1,,,,,
314,non-word,barely,ative,against,active,active,Non-word error,True,0,0,0,50,,,,,
